1657051960.356153485, 136840795, 1.000083874
1657051959.355260142, 134537757, 1.000082679
1657051958.354416394, 131841984, 1.000097989
1657051957.315217548, 133020587, 1.000079484
1657051956.314418590, 131533134, 1.000085718
1657051955.313561910, 131347086, 1.000078585
1657051954.312799596, 136228136, 1.000083029
1657051953.311755640, 134073522, 1.000094179
1657051952.310861923, 130146533, 1.000110648
1657051951.309952921, 133159676, 1.000094608
1657051950.308987373, 143558088, 1.000087600
1657051949.307887310, 136373278, 1.000106593
1657051948.306894747, 133940009, 1.000092750
1657051947.306030119, 133864164, 1.000086770
1657051946.305134512, 138716759, 1.000081974
1657051945.304278928, 134731839, 1.000088335
1657051944.303437285, 130276104, 1.000080959
1657051943.302603316, 139614934, 1.000088030
1657051942.301809307, 135345977, 1.000068330
1657051941.301135307, 136706968, 1.000062999
1657051940.300316413, 132229999, 1.000071884
1657051939.299432470, 133397656, 1.000084919
1657051938.298663125, 132990838, 1.000085005
1657051937.298017469, 133577632, 1.000078834
1657051936.297199970, 136878718, 1.000092070
1657051935.296201604, 138600467, 1.000083160
1657051934.295357136, 132267232, 1.000063144
1657051933.294633196, 132478579, 1.000083559
1657051932.293813577, 134502165, 1.000090169
1657051931.292744908, 133027695, 1.000110399
1657051930.291849604, 130768399, 1.000086414
1657051929.290885837, 135442632, 1.000089830
1657051928.290005030, 135886431, 1.000086244
1657051927.289220770, 131935832, 1.000089819
1657051926.288415041, 131056238, 1.000088340
1657051925.287521599, 131431768, 1.000089214
1657051924.286616566, 133450969, 1.000085144
1657051923.285634470, 132477417, 1.000093029
1657051922.284790567, 133342146, 1.000081634
1657051921.283639727, 124260791, 1.000114119
1657051920.282839978, 131998723, 1.000101879
1657051919.281996800, 130769612, 1.000096059
1657051918.281176961, 134417594, 1.000102059
1657051917.279750897, 137211500, 1.000106988
1657051916.278737615, 135155819, 1.000094534
1657051915.277887427, 136094044, 1.000100284
1657051914.277023709, 135013308, 1.000105679
1657051913.275921854, 132733386, 1.000093764
1657051912.275101965, 138111919, 1.000090209
1657051911.274306966, 137315284, 1.000082169
1657051910.257126171, 145525401, 1.000111629
1657051909.256293822, 137042043, 1.000084789
1657051908.255463704, 137476467, 1.000082929
1657051907.254283436, 132629231, 1.000102978
1657051906.237820944, 129968633, 1.000090564
1657051905.237054245, 138485250, 1.000080109
1657051904.236162057, 137723858, 1.000082500
1657051903.235341873, 134398092, 1.000085745
1657051902.234508130, 136375780, 1.000090599
1657051901.215262000, 141783029, 1.000092103
1657051900.214359001, 130463498, 1.000085195
1657051899.213469534, 135791056, 1.000087344
1657051898.212729464, 139173365, 1.000087889
1657051897.211852756, 137070132, 1.000091004
1657052211.816651820, 133066984, 1.000081580
1657052210.815819147, 134284986, 1.000090494
1657052209.814419717, 135761679, 1.000112803
1657052208.719058612, 130423965, 1.000086019
1657052207.718220563, 134985535, 1.000080379
1657052206.717434934, 134928519, 1.000080534
1657052205.716577812, 136737688, 1.000093653
1657052204.715750647, 139396304, 1.000086299
1657052203.714919694, 139102303, 1.000090568
1657052202.714090950, 135500847, 1.000084294
1657052201.713088860, 134873099, 1.000095668
1657052200.712106237, 131351152, 1.000088419
1657052199.711225135, 135386565, 1.000093848
1657052198.710389276, 135170227, 1.000085794
1657052197.709456284, 133554740, 1.000079029
1657052196.708549526, 133172805, 1.000109889
1657052195.707711844, 130290872, 1.000088053
1657052194.706808436, 129922324, 1.000098523
1657052193.705817214, 134823331, 1.000086269
1657052192.705006840, 132843007, 1.000083579
1657052191.704019399, 135248693, 1.000090964
1657052190.703081246, 149075061, 1.000102065
1657052189.701958087, 140898499, 1.000094999
1657052188.701102029, 132046687, 1.000088309
1657052187.700272220, 136885242, 1.000092539
1657052186.699375629, 130793187, 1.000105213
1657052185.698567399, 130440947, 1.000100234
1657052184.697790619, 132684965, 1.000083380
1657052183.696895487, 132510964, 1.000088729
1657052182.695962090, 136515954, 1.000092869
1657052181.694857635, 131295185, 1.000096049
1657052180.694019176, 130833669, 1.000086020
1657052179.692987587, 132319797, 1.000084768
1657052178.692037424, 136655214, 1.000088939
1657052177.691141236, 135381761, 1.000078480
1657052176.690308458, 136123021, 1.000089659
1657052175.689386176, 132663091, 1.000092173
1657052174.688568606, 133633764, 1.000084345
1657052173.687780937, 139094876, 1.000083809
1657052172.686759012, 133285534, 1.000098304
1657052171.685935608, 132949264, 1.000090255
1657052170.685127449, 134602697, 1.000090409
1657052169.684211842, 137371571, 1.000088884
1657052168.683201036, 140156158, 1.000073754
1657052167.682245389, 133951888, 1.000076904
1657052166.681326281, 132717472, 1.000083025
1657052165.680430289, 132963750, 1.000067699
1657052164.679634905, 132269504, 1.000083344
1657052163.678690608, 133578925, 1.000085449
1657052162.677833349, 137166128, 1.000080800
1657052161.676975441, 135911040, 1.000083749
1657052160.676121173, 133268932, 1.000071269
1657052159.675009418, 134202617, 1.000099079
1657052158.674075291, 136375948, 1.000083350
1657052157.673047786, 131885945, 1.000100203
1657052156.672188547, 136449160, 1.000086344
1657052155.671205711, 133499121, 1.000063849
1657052154.670436981, 131515739, 1.000088320
1657052153.669466475, 132603441, 1.000081579
1657052152.668572457, 132654505, 1.000080459
1657052151.667669980, 133235005, 1.000085499
1657052150.666833421, 141379294, 1.000085854
1657052149.665468385, 136233796, 1.000082084
1657052148.664575617, 134337389, 1.000064215
